;res_id;link;title;content;nd_date;s_date;not_date;id
0;1;https://www.nur.kz/incident/road-accident/2009997-srazu-chetyre-cheloveka-pogibli-v-zhutkom-dtp-v-kyzylordinskoy-oblasti-foto/;Происшествия;Сразу четыре человека погибли в жутком ДТП в Кызылординской области (фото);1676815989.0;1676817641000.0;2023/02/19;-1920002840395522485
1;1;https://www.nur.kz/society/2009996-sneg-tumany-i-meteli-nepogoda-ozhidaetsya-v-ponedelnik-v-bolshinstve-regionov-kazahstana/;Общество;Снег, туманы и метели: непогода ожидается в понедельник в большинстве регионов Казахстана;1676815149.0;1676817641000.0;2023/02/19;1520378990553152518
2;1;https://www.nur.kz/stories/2009718-ya-protiv-ih-braka-kazahstanka-poteryala-son-i-pokoy-iz-za-svadby-syna/;Истории;"""Я против их брака"": казахстанка потеряла сон и покой из-за свадьбы сына";1676813801.0;1676817641000.0;2023/02/19;-6150394800744290086
3;1;https://www.nur.kz/society/2009993-soobschenie-o-polnoy-ostanovke-tets-ekibastuza-oprovergli-v-akimate-pavlodarskoy-oblasti/;Общество;Сообщение о полной остановке ТЭЦ Экибастуза опровергли в акимате Павлодарской области;1676812375.0;1676817641000.0;2023/02/19;318062795546271813
4;1;https://www.nur.kz/world/2009982-oblomki-razgermetizirovannogo-kosmicheskogo-korablya-progress-ms-21-zatonuli-v-tihom-okeane/;Новости мира;"Обломки разгерметизированного космического корабля ""Прогресс МС-21"" затонули в Тихом океане";1676809919.0;1676817641000.0;2023/02/19;3781876926293927440
5;1;https://www.nur.kz/sport/about-sports/2009994-potryasayusche-manon-bryune-opublikovalo-foto-v-otkrovennom-naryade/;Спорт;"""Потрясающе"": Манон Брюне опубликовала фото в откровенном наряде";1676808300.0;1676817641000.0;2023/02/19;-6473371735342259244
6;1;https://www.nur.kz/world/2009983-siriya-zayavila-ob-izrailskom-raketnom-udare-po-damasku/;Новости мира;Сирия заявила об израильском ракетном ударе по Дамаску;1676808076.0;1676817641000.0;2023/02/19;2237090044859347873
7;1;https://www.nur.kz/world/2009992-almazbek-atambaev-prokommentiroval-vstrechu-byvshih-prezidentov-kyrgyzstana/;Новости мира;Алмазбек Атамбаев прокомментировал встречу бывших президентов Кыргызстана;1676806620.0;1676817641000.0;2023/02/19;-4776758804269692223
8;1;https://www.nur.kz/society/2009989-spasateley-kotorye-uchastvovali-v-poiskovyh-rabotah-v-turtsii-pokazali-v-mchs/;Общество;Спасателей, которые участвовали в поисковых работах в Турции, показали в МЧС;1676804966.0;1676817641000.0;2023/02/19;-5389434493311009672
9;1;https://www.nur.kz/politics/kazakhstan/2009991-pochemu-bolshe-sotni-kandidatov-v-deputaty-poluchili-otkaz-v-registratsii-otvetili-v-tsik/;Политика и экономика;Почему больше сотни кандидатов в депутаты получили отказ в регистрации, ответили в ЦИК;1676804807.0;1676817641000.0;2023/02/19;5050942061567535113
